               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12168,            0.036007,            0.027231,                   0,                   0,                   0,                   0,             0.12296,            0.030302,            0.028359,              0.0991,              0.0001,              0.0001
                   1,             0.11789,            0.032497,            0.029547,          0.00073746,            0.083333,          0.00044463,          0.00026678,             0.12135,             0.02998,            0.027996,            0.097294,          0.00029406,          0.00029406
                   2,             0.11929,              0.0359,            0.026897,          0.00074516,            0.083333,          0.00049383,           0.0002963,             0.11809,            0.029798,            0.027297,             0.09548,           0.0004802,           0.0004802
                   3,             0.11626,            0.034166,             0.02618,           0.0016877,             0.16667,           0.0020841,          0.00067735,             0.11366,            0.029706,            0.026395,            0.093658,          0.00065842,          0.00065842
                   4,             0.11122,             0.03353,            0.025763,           0.0025623,             0.33333,           0.0034598,          0.00090249,             0.10782,            0.029717,             0.02504,            0.091829,          0.00082872,          0.00082872
                   5,              0.1057,            0.034964,            0.025379,           0.0034101,             0.41667,           0.0031957,           0.0012236,             0.10111,            0.029983,            0.023515,            0.089991,           0.0009911,           0.0009911
                   6,              0.1076,            0.039938,            0.025319,           0.0046427,             0.58333,            0.006168,           0.0013954,             0.09548,             0.03008,            0.021781,            0.088146,           0.0011456,           0.0011456
                   7,             0.10231,            0.035436,             0.02341,            0.004727,             0.58333,           0.0070788,           0.0020152,            0.091748,            0.029852,            0.019967,            0.086292,           0.0012921,           0.0012921
                   8,            0.096559,             0.03389,            0.019982,           0.0050324,                0.75,            0.012561,           0.0025544,            0.089384,            0.029811,            0.018809,            0.084431,           0.0014307,           0.0014307
                   9,             0.09355,            0.031268,             0.01866,           0.0050231,                0.75,             0.01347,           0.0031592,            0.086125,            0.030014,            0.017848,            0.082561,           0.0015614,           0.0015614
                  10,            0.094896,            0.039533,            0.020639,           0.0050123,                0.75,            0.025596,           0.0057525,            0.084607,            0.029793,            0.016715,            0.080684,           0.0016842,           0.0016842
                  11,            0.092708,            0.038818,            0.019816,           0.0055439,             0.83333,            0.038516,            0.011894,            0.082811,            0.029393,            0.015511,            0.078799,           0.0017991,           0.0017991
                  12,            0.092109,            0.038722,            0.018958,           0.0055386,             0.83333,            0.068387,            0.024029,             0.08112,            0.029042,            0.014311,            0.076906,            0.001906,            0.001906
                  13,            0.088462,              0.0376,             0.01782,           0.0055199,             0.83333,              0.1517,             0.05572,            0.079546,            0.028687,            0.013475,            0.075005,            0.002005,            0.002005
                  14,            0.090146,            0.047721,            0.017015,           0.0055185,             0.83333,             0.31829,             0.11321,            0.077377,            0.028529,            0.012429,            0.073096,           0.0020961,           0.0020961
                  15,            0.086346,            0.038478,            0.015532,             0.14774,             0.66667,             0.45278,             0.16763,            0.076641,            0.027863,            0.011445,            0.071179,           0.0021793,           0.0021793
                  16,            0.081553,            0.038463,             0.01501,             0.24649,             0.66667,             0.54162,             0.18926,            0.073719,            0.027848,            0.010462,            0.069255,           0.0022546,           0.0022546
                  17,             0.07146,            0.037378,            0.011869,             0.32291,             0.58333,             0.56342,             0.21712,            0.071161,            0.027634,           0.0094134,            0.067322,           0.0023219,           0.0023219
                  18,             0.07276,            0.029896,            0.010755,             0.42185,             0.49085,             0.59718,             0.24653,            0.069942,            0.027111,           0.0081786,            0.065381,           0.0023813,           0.0023813
